TITLE	DATES	LOCATION	DESCRIPTION
ESPN March Madness Kickoff Pawty	March 21, 2024	MUTTS Canine Cantina	There is no better way to kickoff March Madness than with an official ESPN Live broadcast of 3 Guys on Sports at MUTTS Canine Cantina Austin. Join us on Thursday, March 21st from 12-2pm for bites, sips and lots of basketball. You won't want to miss it!
Dancing at Lughnasa	March 15, 2024 - March 31, 2024	The City Theatre	This extraordinary poetic drama, Dancing at Lughnasa is the story of five unmarried Irish sisters eking out their lives in a small village in 1936. Their spare existence is only interrupted by brief, colourful bursts of music and the overwhelming spell to dance that has the power to transcend their lonely lives and link them to the romance and hope of the outside world. When two unexpected visitors arrive, the past and present collide and begin to destroy the foundation of their family forever. Widely regarded as Brian Friel’s masterpiece, Lughnasa is a haunting and poetic tribute to the spirit and valor of the past.
Cory Morrow	March 21, 2024	The 04 Center	Cory Morrow's record is an aggressive blend of early Morrow sound with a current day perspective. Vintage feel from an evolving heart and mind. The title track, “Whiskey & Pride” features the age-old struggle of love versus ego and cleverly straddles the line of sermon and self-deprecation. The twist comes in the form of a mirror behind a bar that reveals the true identity of the accuser. The track, which is also the first single release, features the Texas Country-style instrumentation prevalent in Morrow’s early days, including steel guitar phenom and producer of “Whiskey & Pride”, Lloyd Maines.  If the new record, and this phase of Morrow’s career, had to be summed up in one word – the word would be “real”. As evidenced by his latest recordings, live shows, and online communication with fans, he’s not pandering, he’s simply doing what he knows. Pulling back the curtains, letting us in, and letting the chips fall where they may.  “Whiskey & Pride” is much more than a collection of songs. It’s another mile-marker in the journey of Cory Morrow.
Bridging with Mother	March 21, 2024 - March 23, 2024	The Vortex	Tyagaraja Welch of Sustainable Humane Earth Productions (SHE Produces) presents his latest singular art experience, Bridging with Mother, at The VORTEX, March 21-23, 2024. TICKETS ABOUT THE SHOW  Bridging with Mother is an artistic call to “conjoin,” to “merge,” or to “become one with nature.” Experience live music, classical Indian dance, multimedia art, acting, and stage design created by Tyagaraja Welch and directed by his partner Gunjen Mittal. Bridging with Mother is the culmination of classical Indian art forms and permaculture theory, inspired by the Sanskrit term for yoga. It is a production of Welch’s original music, the first release since the pre-pandemic production of VIVEKA, by Welch’s assemblage Light Wheel.  Tyaga Welch offers these words on the project:  “What are we, and where did we come from? When one comes to a mighty waterfall, or stands at the edge of the world along a vast coastal ocean, or bathes in a sacred river, what is the first organic response? When this question is presented in our Yogic Workshops, ninety percent of the participants answer with not a word; they answer with a sound: ‘Aaaahhh.’ This ‘ah’ sound of relief has the hidden answer to all human dilemma. If we are mindful and connected with experiencing our present moment, the ‘aaaahhh’ sound is an ‘aha’ moment, the moment of awakening. The deeper one goes into the topic, the more questions arise. What is the ‘aha’ moment? Spirituality, in its purest sense, is remembrance. The reason why your faith or individual spirituality feels so right, pure, and true to you is because it feels familiar––something you always thought and couldn’t quite put your finger on––like the moment when your hand opens the door to your own house. You feel at peace, safe, and familiar with the surroundings.”  “It’s in times like these that shows like Bridging with Mother are so important to produce because art can promote a paradigm shift towards compassion and action. If you attend the live show at The VORTEX, you will be moved,” says Gunjen Mittal, Director of Bridging with Mother.  Bridging with Mother will be a show for everyone. With the additions of Gunjen Mittal, Welch’s eight-year-old daughter, and elders as advisors, the show’s collaborators span an age range of seventy years. It is an opportunity for the Austin community to support the production of heritage art and live music.
A Gentle Seed: New Artworks from Ghana	March 8, 2024 - April 20, 2024	McLennon Pen Co. Gallery	Public Opening Reception: Friday, March 8th, 6–9 PM  McLennon Pen Co. Gallery is thrilled to announce a group show of paintings by artists from Ghana, including Selorm Amekorfia, Theresah Ankomah, Kwabena Fordjour, Salihu Mohammed, Daniel Tetteh Nartey, Azmina-Toure, and Rufai Zakari.
'GARY JAMES McQUEEN' Debut Solo US Exhibit	March 2, 2024 - March 24, 2024	West Chelsea Contemporary	West Chelsea Contemporary is thrilled to share with Austin the opening of GARY JAMES McQUEEN, the first solo US exhibition by London-based artist Gary James McQueen – nephew of renowned fashion icon Alexander ‘Lee’ McQueen. The gallery is presenting for the first time the artist’s entire body of work, influenced by the mentorship of Lee from a young age, which encouraged his creative exploration and fostered his ability to world-build at the intersection of art, fashion and technology. GARY JAMES McQUEEN opens on Saturday, March 2 and runs through Sunday, March 24.  From beginning roles in design at the house of McQueen, creating a first of its kind, fully digital fashion show under his own brand, and designing ‘skins’ for avatars with the likes of Disney’s latest collaborator, Epic Games – to breathing life into his trademark chrome skull artwork that became the face of the exhibit which traveled to The Met and Victoria and Albert Museum in 2010, Gary James McQueen is ever pushing the envelope of what it means to be an artist. This first solo exhibit in the US serves as an exploration of artistic innovation, an homage to familial heritage, and an invitation to experience the extraordinary future of creative expression.
Broadway in Austin: Wicked	March 13, 2024 - March 31, 2024	Bass Concert Hall - PAC (Performing Arts Center)	WICKED, the Broadway sensation, looks at what happened in the Land of Oz…but from a different angle. Long before Dorothy arrives, there is another young woman, born with emerald-green skin—smart, fiery, misunderstood, and possessing an extraordinary talent. When she meets a bubbly blonde who is exceptionally popular, their initial rivalry turns into the unlikeliest of friendships…until the world decides to call one “good,” and the other one “wicked.”  From the first electrifying note to the final breathtaking moment, WICKED—the untold true story of the Witches of Oz—transfixes audiences with its wildly inventive story that USA Today cheers is “a complete triumph! An original musical that will make you laugh, cry, and think.”
Rodeo Austin 2024	March 8, 2024 - March 23, 2024	Travis County Exposition Center	Rodeo Austin returns to the Travis County Expo Center March 2024 as a full-blown family affair, boasting a thrilling lineup of ProRodeo events, livestock shows, daily concerts, carnival attractions and much more. The must-attend Austin event takes place daily, March 8-23, 2024. If you're planning to be in Austin to attend the event, here's everything you need to know.  The 2024 lineup features artists William Clark Green, Gary Allen, Los Huracanes Del Norte, Ashley McBryde, Jamey Johnson, 38 Special, Jake Owen, Sawyer Brown and more! Tickets are available for purchase starting January 19th at rodeoaustin.com/tickets.  The fairgrounds open at 10 a.m. daily and offer hours of entertainment with carnival games and rides, shopping, food, shows and educational activities. Visit Kidztown for a petting zoo and other fun activities. Be sure to make time for additional special events that include the Gala, Cowboy Breakfast and BBQ Austin (March 1-2, 2024).
Anni Albers: In Thread and On Paper	February 11, 2024 - June 30, 2024	Blanton Museum of Art	Anni Albers (1899–1994) is considered the most important textile artist of the 20th century. Known for her wall hangings, weavings, and designs, she was also an innovative educator and printmaker. Anni Albers: In Thread and On Paper highlights how nimbly Albers moved between mediums—including her shift from weaving to printmaking in the 1960s—and transitioned between making art and designing functional and commercial objects. In addition to Albers’s woven rugs, tapestries, drawings, and prints, the exhibition features her loom and wallpaper based on her designs. Anni Albers: In Thread and On Paper will be on view starting February 11, 2024 through June 30, 2024.
Black Girls Don't Wear Red Lipstick	February 15, 2024 - April 21, 2024	Austin Central Library Gallery (2nd Floor)	Step into a world of audacious beauty and empowerment with the photo exhibition, Black Girls Don't Wear Red Lipstick, created by the visionary photographer, Leta Harrison, curated by Keyheira Keys and Whitney Hamilton, _OFCOLORATX.  Through images of Black women embracing vibrant colors and confidently wearing shades of red lipstick, Leta's bold photographic prints showcase women using beauty as a form of activism to reclaim their power, challenge oppressive beauty standards, and stifle stereotypes. Leta’s powerful images celebrate each woman’s uniqueness, fostering self-love, promoting positive change, and illustrating Black women breaking free from the shackles of conformity.  About the Artist Leta Harrison is a local Austin photographer with an unwavering passion for capturing the essence of her subjects and telling their powerful stories through her lens. Drawing inspiration from Texas musician, Kam Franklin's artist talk, in which she bravely shared her personal experiences of facing pressure to be more modest and being judged for her expressive style, often considered "too much", Kam's poignant recollection of the phrase, "Black girls don't wear red lipstick," struck a chord with Leta, inspiring her to further uplift the women that she photographs and to create this exhibition.  Photo credit Leta Harrison.
